time,low,high,open,close,volume
1591920000,9227.0,9552.87,9268.16,9464.17,10992.51647836
1591833600,9050.0,9973.25,9894.35,9268.16,26779.8793933
1591747200,9690.0,10018.67,9779.7,9894.04,12965.42597405
1591660800,9567.33,9886.0,9781.51,9779.41,10329.87714811
1591574400,9632.79,9815.0,9750.12,9781.51,8533.83614916
1591488000,9370.0,9822.0,9670.28,9750.12,11628.94527829
1591401600,9526.03,9735.13,9613.42,9671.7,6501.31731671
1591315200,9585.44,9855.0,9791.96,9613.21,12495.89785858
1591228800,9450.0,9888.0,9668.06,9788.03,12441.27298837
1591142400,9385.22,9695.0,9521.53,9668.07,11446.72193696
1591056000,9270.0,10237.6,10208.96,9522.46,33220.58268645
1590969600,9417.42,10428.0,9445.83,10208.96,21676.60828748
1590883200,9369.58,9705.6,9700.32,9446.57,7944.71669301
1590796800,9326.43,9764.0,9423.85,9700.33,10509.69814742
1590710400,9330.01,9609.02,9580.01,9423.84,10415.42644355
1590624000,9112.0,9625.0,9208.53,9580.19,14511.07649252
1590537600,8811.46,9230.0,8844.41,9208.53,10936.67835282
1590451200,8694.23,9016.99,8900.0,8844.42,11507.43097855
1590364800,8632.93,8977.0,8715.69,8899.31,12328.24203695
1590278400,8680.7,9306.23,9181.09,8715.73,13004.34567862
1590192000,9090.11,9313.83,9168.84,9181.76,6878.84791748
1590105600,8923.5,9267.34,9059.32,9168.84,13731.91887098
1590019200,8800.0,9568.0,9509.4,9061.96,28081.22890941
1589932800,9294.54,9836.99,9783.57,9509.41,16895.54925055
1589846400,9463.22,9898.0,9728.52,9783.76,15229.62610784
1589760000,9436.97,9957.25,9677.45,9728.52,17710.29958398
1589673600,9325.81,9896.0,9380.01,9676.63,13540.66294076
1589587200,9215.01,9594.99,9312.1,9383.16,10782.32773503
